transactionHash,address_from,time_remaining,amount,dsec,tranche,user_address,principal_token_addr
0x41776aa8bebf4a92bcc974e81fa997f8416b120258fdd2fb61bf43d3a0d82a43,0xF1c0dC910eCfb7260E97e79d9E89774DCa231456,1208971,50000000000000000000000,60448550000000000000000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0xF1c0dC910eCfb7260E97e79d9E89774DCa231456,0x9be973b1496E28b3b745742391B0E5977184f1AC
0xca46c4712f87c5d30932c9c29e545cbfabfe81712d9e2c69b5d028ba0593c554,0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,1208787,10000000000000000000000,12087870000000000000000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,0x9be973b1496E28b3b745742391B0E5977184f1AC
0x2d6c0c76dfab524d1a94d6ec0629b53126513a9fccccbdeab058cf0b4248d646,0x9eD04A577c1c37E64A621b0Bb21a21B9a0483948,1208491,50000000000000000000000,60424550000000000000000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0x9eD04A577c1c37E64A621b0Bb21a21B9a0483948,0x9be973b1496E28b3b745742391B0E5977184f1AC
0x352fa3e9497dd2bde3957566f5d47692790e7d50ddcbd18c699142b45698eb93,0x3923014F9e46a4ec5CdF6Ff48C61Feb49c5F507C,1208421,18832091238750000000000,22757094526821513750000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0x3923014F9e46a4ec5CdF6Ff48C61Feb49c5F507C,0x9be973b1496E28b3b745742391B0E5977184f1AC
0x2884eeefc2f8a44354da49bf962eb30ee08379f8f65f04247cd404a3bc66256f,0x0b0B1C6CcF23B1E85dc90519612Da5Fe9fc91c16,1208007,1400000017169660000000000,1691209820741069467620000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0x0b0B1C6CcF23B1E85dc90519612Da5Fe9fc91c16,0x9be973b1496E28b3b745742391B0E5977184f1AC
0xef0d5699897a408c442506ea193af627f7718e9049313deaefa40c42940d0136,0xDbCE66C4468AC0EFE660cea7B667E9e222BE8C0C,1207963,500000000000000000000,603981500000000000000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0xDbCE66C4468AC0EFE660cea7B667E9e222BE8C0C,0x9be973b1496E28b3b745742391B0E5977184f1AC
0x1cbdd6f91ff44f23afcdfa7b2665bd59fd16fa99522235cafe56b89bbed5203a,0xED60d8590019e5E145ea81455c01F3e817Fe54EB,1207629,6000000000000000000000,7245774000000000000000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0xED60d8590019e5E145ea81455c01F3e817Fe54EB,0x9be973b1496E28b3b745742391B0E5977184f1AC
0xe5ce014b6f34ba8296b8d2bcfd44f82ad282437ef61494b39e958f0bb569c650,0xb688f02B24Accd0dc7DfcC604AAD18E79F5dB2C2,1207487,395905600410000000000,478050865722269670000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0xb688f02B24Accd0dc7DfcC604AAD18E79F5dB2C2,0x9be973b1496E28b3b745742391B0E5977184f1AC
0x636cc7156a53f87375cc4cbb9981db8600fac86aa93c1e4840466ed4a7b47835,0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,1207325,15000000000000000000000,18109875000000000000000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,0x9be973b1496E28b3b745742391B0E5977184f1AC
0x23f1ff19e75913132cab91cfa2c38866cdb5ebe0f2e0939b3b5a239dc109a910,0x15943509d0C216a9aa36fbFe0095948065433df7,1207198,5342388215110000000000,6449320368504361780000000000,0x372Bc201134676c846F1fd07a2a059Fd18526De3,0,0x15943509d0C216a9aa36fbFe0095948065433df7,0x9be973b1496E28b3b745742391B0E5977184f1AC
